method,frame,lpips,temporal_mse,tlpips_delta
Fine-tuned BasicVSR++,000/00000061,0.1942422240972519,0.00045014769420959055,0.18694981932640076
Fine-tuned BasicVSR++,000/00000062,0.19570624828338623,0.00045760584180243313,0.18372902274131775
Fine-tuned BasicVSR++,000/00000063,0.1918487548828125,0.00044999123201705515,0.18784448504447937
Fine-tuned BasicVSR++,000/00000064,0.18295013904571533,0.00043845747131854296,0.1849678009748459
Fine-tuned BasicVSR++,000/00000065,0.1905621737241745,0.00043814812670461833,0.18385179340839386
Fine-tuned BasicVSR++,000/00000066,0.1916980892419815,0.0004303721070755273,0.18016335368156433
Fine-tuned BasicVSR++,000/00000067,0.19478319585323334,0.0004189432947896421,0.18200519680976868
Fine-tuned BasicVSR++,000/00000068,0.20602789521217346,0.00042848667362704873,0.19513031840324402
Fine-tuned BasicVSR++,000/00000069,0.21698471903800964,0.00044246320612728596,0.20173370838165283
Fine-tuned BasicVSR++,000/00000070,0.20804494619369507,0.0004389530513435602,0.20198428630828857
Fine-tuned BasicVSR++,000/00000071,0.21036839485168457,0.0004339790320955217,0.19538767635822296
Fine-tuned BasicVSR++,000/00000072,0.21828649938106537,0.00045375138870440423,0.20708301663398743
Fine-tuned BasicVSR++,000/00000073,0.22660265862941742,0.00046868500066921115,0.20987027883529663
Fine-tuned BasicVSR++,000/00000074,0.22089257836341858,0.0004605175054166466,0.21463699638843536
Fine-tuned BasicVSR++,000/00000075,0.22248327732086182,0.0004552382742986083,0.2128314971923828
Fine-tuned BasicVSR++,000/00000076,0.21470291912555695,0.0004712189547717571,0.21330131590366364
Fine-tuned BasicVSR++,000/00000077,0.21167734265327454,0.00047944943071343005,0.20828716456890106
Fine-tuned BasicVSR++,000/00000078,0.19948852062225342,0.00047367316437885165,0.2036689817905426
Fine-tuned BasicVSR++,000/00000079,0.19147121906280518,0.00046635628677904606,0.19863839447498322
Fine-tuned BasicVSR++,000/00000080,0.19442808628082275,0.00048654424608685076,0.19321568310260773
Fine-tuned BasicVSR++,000/00000081,0.1886492222547531,0.0004791626997757703,0.1924150586128235
Fine-tuned BasicVSR++,000/00000082,0.1783718317747116,0.0004874260339420289,0.1889476180076599
Fine-tuned BasicVSR++,000/00000083,0.1822507530450821,0.00048232899280264974,0.18939347565174103
Fine-tuned BasicVSR++,000/00000084,0.1942700892686844,0.000500822439789772,0.1955672800540924
Fine-tuned BasicVSR++,000/00000085,0.200540691614151,0.0005417799693532288,0.1935996264219284
Fine-tuned BasicVSR++,000/00000086,0.20824524760246277,0.0005721545894630253,0.20531338453292847
Fine-tuned BasicVSR++,000/00000087,0.21004131436347961,0.0005879069794900715,0.1986280083656311
